Designator,Mid X,Mid Y,Rotation,Layer
C1,94.78,-92.25,180,top
C10,111.05,-107.7,90,top
C11,99.45,-102.825,90,top
C12,101.675,-104.4,180,top
C13,97.075,-105.25,0,top
C14,104.75,-108.95,90,top
C15,113.15,-107.7,90,top
C16,106.75,-109,90,top
C17,108.71,-109,90,top
C18,87.4,-98.82,90,top
C19,102.55,-103.55,180,bottom
C2,97.35,-90.7,180,top
C20,102.575,-105.1,180,bottom
C3,102.7,-91.275,270,top
C4,97.37,-91.7,180,top
C5,90.35,-93.85,90,top
C6,100.25,-92.625,90,top
C7,90.1,-92.2,180,top
C8,85.25,-97.38,90,top
C9,114.2,-102.2,90,top
CN1,111.4,-93.2775,180,top
D1,91,-114.7875,90,top
D2,107.5,-115.1875,270,top
D3,109,-115.1875,270,top
D4,92.5,-114.7375,90,top
D5,106.75,-85.75,180,top
D6,106.75,-87.65,180,top
J1,99.882,-84.7275,180,top
J2,92.515,-107.07,90,top
R1,107.7625,-105.65,180,top
R11,83.4,-107.7,90,top
R12,84.35,-108.75,270,top
R2,89.35,-107.875,270,top
R3,100.75,-89.75,270,top
R4,97.35,-89.4,0,top
R5,107.6,-112.76,270,top
R6,108.75,-112.76,270,top
R7,92.5,-112.3,90,top
R9,91.25,-112.35,90,top
SW1,93.9,-90.05,0,top
TP1,86.7,-107.8,0,top
TP2,85.5,-109.95,0,top
TP3,111.15,-101.7,0,top
U1,100,-100,90,bottom
U3,105.95,-91.86,270,top
U4,94.8625,-98,270,top
U5,86.2,-100.2,270,top
U6,113.61,-100.55,90,top
U7,105.72,-99.201,0,top
Y2,87.15,-93,0,top
